"global_id";"ObjectName";"NameWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";
"2721625667";"Парк «Горка»";"Площадка детская игровая в парке № 1";"Центральный административный округ";"Басманный район";"Петроверигский переулок, дом 4, строение 3";"sadermitazh@culture.mos.ru";"mosgorsad.ru";"(495) 699-08-49";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.635915374, 55.756625444], type=Point}";"";
"2721625709";"Парк «Покровский берег»";"Площадка детская игровая в парке № 2";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Береговая улица, дом 8";"info@mosparks.ru";"mosparks.ru/";"(495) 640-73-55";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"да";"01.01-31.12";"nested data";"освещение лампами накаливания";"отсыпное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.471271157, 55.833199691], type=Point}";"";
"2721625728";"Усадьба «Люблино»";"Площадка детская игровая в парке №3";"Юго-Восточный административный округ";"район Люблино";"Летняя улица, дом 1, строение 1";"parkkuzminki@culture.mos.ru";"park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.743210684, 55.686983694], type=Point}";"";
"2721625757";"Природный заказник «Воробьевы горы»";"Площадка детская игровая в парке, «Шхуна»";"Юго-Западный административный округ";"Гагаринский район";"улица Косыгина, дом 28, строение 2";"Parkgorkogo@culture.mos.ru";"park-gorkogo.ru";"(495) 995-00-20";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"освещение лампами накаливания";"отсыпное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.572059837, 55.71076008], type=Point}";"";
"2721626202";"Парк «Бирюлевский дендропарк»";"Площадка детская игровая в парке №5, «Детская игровая площадка фок», Шипиловская улица напротив дома 63";"Южный административный округ";"район Орехово-Борисово Южное";"Липецкая улица, дом 26";"tsaritsynomuseum@culture.mos.ru";"tsaritsyno-museum.ru";"(495) 322-44-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.707455552, 55.600052608], type=Point}";"";
"2721626314";"Парк «Красногвардейские пруды»";"Площадка детская игровая в парке №1";"Центральный административный округ";"Пресненский район";"Красногвардейский бульвар, дом 9";"2553970@bk.ru";"p-kp.ru";"(499) 256-33-42";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"да";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.545906926, 55.764591655], type=Point}";"";
"2721740823";"Парк «Горка»";"Площадка детская игровая в парке № 3";"Центральный административный округ";"Басманный район";"Петроверигский переулок, дом 4, строение 3";"sadermitazh@culture.mos.ru";"mosgorsad.ru";"(495) 699-08-49";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.636240134, 55.755975807], type=Point}";"";
"2721740878";"Усадьба «Люблино»";"Площадка детская игровая в парке №4";"Юго-Восточный административный округ";"район Люблино";"Летняя улица, дом 1, строение 1";"parkkuzminki@culture.mos.ru";"park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.746056865, 55.686354371], type=Point}";"";
"2721740918";"Природный заказник «Воробьевы горы»";"Площадка детская игровая в парке, «Космос»";"Западный административный округ";"район Раменки";"улица Косыгина, дом 28, строение 2";"Parkgorkogo@culture.mos.ru";"park-gorkogo.ru";"(495) 995-00-20";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.01-31.12";"nested data";"смешанное освещение";"отсыпное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.551375045, 55.708982148], type=Point}";"";
